"建物他項權利登記","棟數_棟","設定","移轉","變更","塗銷","其他","面積_平方公尺","設定","移轉","變更","塗銷","其他"
"107年<br>(1月至5月)/ 基隆市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 基隆市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹市 / 登記項目總計","9,900","5,285","818","232","3,565","-","1,113,124.18","535,429.17","123,734.05","40,643.95","413,317.01","-"
"107年<br>(1月至5月)/ 新竹市 / 抵押權","9,900","5,285","818","232","3,565","-","1,113,124.18","535,429.17","123,734.05","40,643.95","413,317.01","-"
"107年<br>(1月至5月)/ 新竹市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 新竹市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義市 / 登記項目總計","4,712","2,074","767","167","1,704","-","683,484.97","339,473.04","83,729.05","48,267.56","212,015.32","-"
"107年<br>(1月至5月)/ 嘉義市 / 抵押權","4,712","2,074","767","167","1,704","-","683,484.97","339,473.04","83,729.05","48,267.56","212,015.32","-"
"107年<br>(1月至5月)/ 嘉義市 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義市 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義市 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義市 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義市 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義市 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義市 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義市 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 金門縣 / 登記項目總計","719","460","-","49","210","-","99,148.42","59,431.17","-","5,442.60","34,274.65","-"
"107年<br>(1月至5月)/ 金門縣 / 抵押權","719","460","-","49","210","-","99,148.42","59,431.17","-","5,442.60","34,274.65","-"
"107年<br>(1月至5月)/ 金門縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 金門縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 金門縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 金門縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 金門縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 金門縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 金門縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 金門縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 連江縣 / 登記項目總計","2","2","-","-","-","-","873.55","873.55","-","-","-","-"
"107年<br>(1月至5月)/ 連江縣 / 抵押權","2","2","-","-","-","-","873.55","873.55","-","-","-","-"
"107年<br>(1月至5月)/ 連江縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 連江縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
